Advertiser,Committee ID,Supported Candidates,Support Method,Grand Total,Race Type
House Majority PAC,,,,73626050.56,House
SLF PAC,C00571703,,,52702945.42999999,Senate
Illinois Future PAC,C00902320,,,13556044.040000001,Senate
Americans for Prosperity Action,,,,7684995.699999999,Senate
Conservative Texans PAC,C00932707,,,5318377.85,Senate
Cornyn Lonestar Victory Fund,C00866947,,,3631629.48,Senate
Hoosier Leadership for America Inc.,,,,3376381.89,Downballot
American Action Network,C90011230,,,3342993.46,House
American Leadership PAC,C00824292,,,2872307.2199999997,Downballot
314 Action,C90017781,,,2724020.78,House
Lone Star Rising PAC,C00918268,,,2664649.4299999997,Senate
Western States Petroleum Association,,,,1757791.15,Downballot
WBJ Leadership Committee/Jones,,Jones,Name inference,1592668.17,Governor
DLGA PAC,,,,1549596.1600000001,House
Louisiana Freedom Fund,C00906263,,,1545553.84,Senate
Alliance for Economic Freedom,,,,1462496.04,House
Think Big PAC,,,,1457450.1300000001,House
DLGA PAC,,,,1419999.98,Senate
Cornyn Victory Committee,C00770180,,,1318190.51,Senate
Keep America Great PAC,C00689356,,,1297607.21,Senate
Civic Progress Fund,,,,1272271.8399999999,Senate
Alliance Against Corporate Abuse,,,,1125241.69,Downballot
Friends of Byron Donalds PAC,,Byron Donalds,Name inference,993326.76,Governor
The Impact Fund,C90020884,,,974087.6599999999,Senate
American Conservative Fund Action Georgia,,,,965916.03,Downballot
Article One Action Fund,,,,933471.35,House
Club for Growth Action,C00487470,,,882212.98,House
Veterans Duty Fund,C00924282,,,875718.56,House
Blue Dog Action PAC,,,,768799.83,House
Jobs and Democracy PAC,C00928374,,,713375.9099999999,House
EDW Action Fund,C00863472,,,634335.98,House
Article One PAC,C00931774,,,591999.1699999999,House
Sports Betting Alliance,,,,579290.75,Downballot
California Environmental Voters Education Fund,,,,547623.52,Downballot
Republican Main Street Partnership PAC,C00165159,,,546337.9199999999,House
Working Families Party,,,,511484.27999999997,House
Congressional Progressive Caucus PAC,C00513176,,,504846.69,House
Senate Opportunity Fund,,,,503082.47,Senate
Win It Back PAC,C00844613,,,459607.08999999997,Senate
Alamo Freedom Fighters PAC,C00924951,,,390761.83999999997,House
MA Progress Action,,,,362630.92,Senate
American Future Fund,C90011677,,,316975.1,Downballot
Vote Vets Action Fund,,,,310817.64999999997,House
Win It Back PAC,C00844613,,,300028.52999999997,House
CA Association of Health Facilities,,,,276297.11,Downballot
American Affordability Alliance,,,,262055.89,House
SC Conservative Action Fund,C00742296,,,260032.61,Governor
Security is Strength PAC,C00573733,,,258082.94,Senate
The Connecticut Project Action Fund,,,,255195.47,Downballot
Tobacco Free Kids Action Fund,,,,248171.22,Downballot
ClearPath Action Fund,,,,246316.68,Senate
Citizens Alliance PAC,,,,245271.53,Downballot
Hunt Victory Fund,,,,244023.25,Senate
Ken Paxton Victory Fund,C00941914,,,237300.0,Senate
Freedom Caucus Fund,C00552851,,,217264.13999999998,Downballot
Public First Action,,,,217082.01,Governor
Modern Ag Alliance,,,,206602.5,Downballot
American Families for Vaccines Action Fund,,,,192207.15,Downballot
Utah Association of Realtors,,,,188956.52,Downballot
KY PAC,C00944371,,,188351.77,Senate
Let My Doctors Decide Action Network,,,,182424.53,Downballot
Texas Conservative Fund,,,,178501.26,Downballot
"FHRCC 3 PAC (Garrison, Maples, Weinberger)",,,,171189.0,Downballot
Restore Sanity PAC,,,,162229.99000000002,Governor
AFC Victory Fund,C00846683,,,153030.43,Downballot
314 Action,C90017781,,,143068.1,Senate
Crush MAGA PAC,C00879221,,,142419.92,House
Environmental Defense Fund,,,,142159.99,Downballot
Public First Action,,,,139037.22,House
NY State Democratic Committee,,,,136997.0,Governor
Strong PAC,C00937094,,,134201.68,House
RJC Victory Fund,C00528554,,,133762.79,House
Invest in Tomorrow Coalition PAC,C00936997,,,125360.04000000001,Downballot
Texas Defense PAC,,,,121654.26,Downballot
NRDC Action Fund,,,,113211.28,Downballot
American Energy Action,,,,111403.72,Downballot
Chesapeake Climate Action Network,,,,107961.26,Downballot
Consumer Attorneys Initiative Defense PAC,,,,107109.85,Downballot
WFW Action Fund,,,,106825.43,House
Health Action Network,,,,105066.85,Downballot
Take Me Home WV Action,C00905612,,,104303.98,Senate
New York Association of Convenience Stores,,,,104011.49,Downballot
Gift Card Fraud Prevention Alliance,,,,103284.8,Downballot
House Freedom Action,C00662221,,,101729.88,Downballot
Medicare for All PAC,,,,92588.18,House
Americans 4 Security PAC,C00733352,,,91732.88999999998,House
Principled Leadership for Florida,,,,90339.06,Downballot
Commonwealth Together PAC,C00933564,,,87681.79,Senate
American Beverage Association,,,,83628.3,Downballot
Colorado Restaurant Association,,,,80116.94,Downballot
Sentinel Action Fund,,,,79572.66,Senate
Black Voters Matter Action PAC,C00753277,,,79521.89,Senate
Tennessee Employer Benefits Alliance,,,,79144.66,Downballot
New Jersey Education Association,,,,77615.29,Downballot
Community Action for Responsible Hospitals,,,,76900.06,Downballot
Texas Now PAC,,,,76534.01,Downballot
Black Bear PAC,,,,75710.01,Downballot
Lone Star Conservative Action Fund,,,,74491.09,Senate
Sugar Maple PAC,,,,73523.40000000001,Downballot
Alliance for Competitive Power,,,,71668.35,Downballot
House Freedom Action,C00662221,,,68768.54000000001,House
Win It Back PAC,C00844613,,,67168.69,Downballot
Utility Information Alliance,,,,66964.68,Downballot
American Future PAC,,,,66750.03,Downballot
Nuestro PAC,C00744185,,,64153.6,House
Consumer Action for a Strong Economy,,,,61763.8,Downballot
American Bankers Association,C30002851,,,59580.92,Downballot
West Virginia Hospital Association,,,,59038.35,Downballot
Texans United for a Conservative Majority PAC,,,,58229.149999999994,Downballot
Mississippi Voters Alliance,,,,54000.0,Downballot
Fellowship PAC,C00915181,,,51765.94,Governor
Michigan Democratic State Central Committee,C00031054,,,51016.47,Downballot
Auto Care Association,,,,50922.27,Downballot
First Principles PAC,C00893537,,,50844.880000000005,Downballot
RSLC PAC,C00779595,,,50400.0,Downballot
J Street Action Fund,C00815753,,,50000.0,House
Lone Star Liberty PAC,C00901223,,,49131.45,Senate
SC Conservative Action Fund,C00742296,,,48938.03,Governor
Connecticut Hospital Association,,,,48761.17,Downballot
Keep Georgia Strong Action,,,,48532.73,Governor
Michigan Freedom Fund,,,,48447.14000000001,Downballot
Commonwealth Action,,,,47682.11,Downballot
NRDC Action Fund,,,,46160.25,House
Southern Utah Wilderness Alliance,,,,43975.05,Downballot
Delaware Healthcare Association,,,,42490.84,Downballot
PA State Education Association,,,,41816.71,Downballot
Florida House Republican Campaign Committee,,,,40712.42,Downballot
American Conservative Values Action Fund GA,,,,40332.53,Downballot
Clean Power Alliance,,,,40303.29,Downballot
Forward Action Fund/Affordable PA,,,,39679.9,House
Equality PAC,C00550970,,,38749.97,House
Americans for Prosperity Action,,,,35955.92,Downballot
Hospital and HealthSystem Association of PA,,,,34538.42,Downballot
Clean Energy Buyers Association,,,,34024.0,Governor
Stronger Illinois PAC,C00931048,,,33700.03,House
Central Valley Taxpayers Association,,,,33556.51,Downballot
Raise the Bar PAC,,,,33311.99,House
Electronic Transactions Association,,,,33193.9,Downballot
Defending Our Values PAC,C00928390,,,33186.43,House
Republican Party of Pennsylvania,,,,32400.13,Downballot
Project 2026 PAC,,,,32348.44,Senate
California Association of Realtors,,,,31865.85,Downballot
American Affordability Alliance,,,,31504.23,Downballot
Texas Majority PAC,,,,30800.0,Downballot
National Association of Realtors,C70002563,,,30258.97,Senate
Oregon Realtors PAC,,,,29906.03,Downballot
Black Voters Matter Fund,C90017385,,,29573.6,Downballot
National Association Against IGaming,,,,29163.96,Downballot
Virginia Promise in Action,,,,28097.65,Downballot
Texas Oil and Gas Association,,,,28085.78,Downballot
Fellowship PAC,C00915181,,,27830.920000000002,Senate
The Association of Mature American Citizens,,,,26721.31,Downballot
Southwest Florida First PAC,C00906305,,,25880.97,House
7th Amendment PAC,,,,25623.08,Downballot
Neighborhood Energy and Freedom Alliance,,,,25568.83,Downballot
National Infusion Center Association,,,,25292.45,Downballot
Connecticut Education Association (CEA),,,,25250.33,Downballot
Consumer Energy Alliance,,,,25009.48,Downballot
Western Growers Association,,,,24050.02,Downballot
