Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00823914","EVER RELENTLESS IN CONSERVATISM","http://docquery.fec.gov/cgi-bin/fecimg/?C00823914","BURLISON, ERIC","20806.18","31-MAR-26","17760","29250"
"C00881052","O PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00881052","OLSZEWSKI, JOHN ANTHONY JR.","49032.76","31-MAR-26","78574.5","79092"
"C00896092","FLORIDA LEADS","http://docquery.fec.gov/cgi-bin/fecimg/?C00896092","MOODY, ASHLEY","767453.94","31-MAR-26","295287.2","1062741.2"
"C00948471","JOBS AND ENERGY DOMINANCE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00948471","COCHRAN, JED","","","",""
"C00948273","GARDEN STATE LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00948273","KEAN, THOMAS H. JR.","","","",""
"C00692715","HELP ELECT REPUBLICANS NOW","http://docquery.fec.gov/cgi-bin/fecimg/?C00692715","","237177.6","31-MAR-26","195287.6","332836.1"
"C00808717","KEEP TEXAS TEXAS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00808717","DE LA CRUZ, MONICA","23040.6","31-MAR-26","196878.5","117715.9"
"C00868307","PROTECT DEMOCRACY NOW","http://docquery.fec.gov/cgi-bin/fecimg/?C00868307","BROWNLEY, JULIA","138289.89","31-MAR-26","549571.5","675735.4"
"C00948174","SAVE NEW YORK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00948174","","","","",""
"C00772442","PAC FOR AMERICA 2","http://docquery.fec.gov/cgi-bin/fecimg/?C00772442","","15212.66","31-MAR-26","18450","5000"
"C00863712","ROOTED & READY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00863712","RAMIREZ, DELIA","17433.24","31-MAR-26","24604.2","41500"
"C00947739","HARDWORKING AMERICANS LOVE OPPORTUNITY PAC (HALO PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00947739","O'DONNELL, MARTY","","","",""
"C00897819","PATHFINDER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00897819","MCNABB, BARRETT ANTHONY","","","",""
"C00882290","CALL TO SERVE","http://docquery.fec.gov/cgi-bin/fecimg/?C00882290","VINDMAN, YEVGENY 'EUGENE'","3944.61","31-MAR-26","47982.7","49427.3"
"C00691352","MOTHER ON A MISSION (MOM PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00691352","MCBATH, LUCIA","26387.73","31-MAR-26","37237.7","48337.5"
"C00854430","PEOPLE IN RURAL AREAS TRANSFORM ELECTIONS (PIRATE) PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00854430","DAVIS, DON","36895.93","31-MAR-26","88297.6","91600"
"C00647354","TEAM AMERICA - BRINGING AMERICA TOGETHER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00647354","","28251.89","31-MAR-26","763910","643738.2"
"C00566059","REMEDY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00566059","SWALWELL, ERIC","37111.93","31-MAR-26","176863.8","182203.7"
"C00784868","TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY","http://docquery.fec.gov/cgi-bin/fecimg/?C00784868","MOORE, BARRY","21305","31-MAR-26","3010","13500"
"C00942326","ACCOUNTABLE LEADERS FOR MONTANA'S EXCELLENCE","http://docquery.fec.gov/cgi-bin/fecimg/?C00942326","ALME, KURT","9081.02","31-MAR-26","0","9081"
"C00912543","FIGHT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00912543","WARREN, ELIZABETH","29687.79","31-MAR-26","63052.9","92740.6"
"C00940098","MISSION FIRST LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00940098","SMULLEN, ROBERT","3898.12","31-MAR-26","0","3898.1"
"C00799809","1890 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00799809","","5509.04","31-MAR-26","87663.6","50684.1"
"C00944538","TOGETHER ADVANCING NEW OPPORTUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944538","TIJERINA, TANO","0","31-MAR-26","0","0"
"C00947184","BLUE DEMS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00947184","RIVAS, LUZ","","","",""
"C00439398","TEXAS FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00439398","CUELLAR, HENRY","83818.06","31-MAR-26","47865.9","72100"
"C00947101","THE INFRASTRUCTURE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00947101","ARMSTRONG, ALAN","","","",""
"C00946988","DRIVING AMERICA NOW PAC AKA DANPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00946988","","","","",""
"C00938647","BOLD REPUBLICAN IN NEBRASKA KEEPING ELECTIONS RED PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00938647","HARDING, BRINKER","0","31-MAR-26","0","0"
"C00844720","DEMOCRATIC MAJORITY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00844720","DELBENE, SUZAN","199270.37","31-MAR-26","831712.4","994470.7"
"C00583526","TOGETHER UNITED FOR LIBERTY, INTEGRITY AND PROSPERITY PAC (TULIP PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00583526","MOOLENAAR, JOHN MR.","2777.04","31-MAR-26","65414.2","51525"
"C00946657","DRH LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00946657","KIMES, HEAVENLY DR","","","",""
"C00930339","KNOWLEDGE, INTEGRITY, RESPONSIBILITY AND KINSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00930339","KIRK, JUSTIN","2026.48","31-MAR-26","355","2381.5"
"C00946665","LAUNCH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00946665","GIBBS, JASON","","","",""
"C00946483","AMERICAN DREAM FOR ALL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00946483","RUTINEL, MANNY","","","",""
"C00592089","ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00592089","","905617.67","31-MAR-26","1251176.3","1920004.1"
"C00836304","COURAGE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00836304","BALINT, REBECCA 'BECCA'","15230.36","31-MAR-26","27228","38000"
"C00946061","AIM-9 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00946061","ROONEY, DAN","","","",""
"C00940635","BRAINDOC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00940635","COWAN, JOHN","9166.67","31-MAR-26","0","9166.7"
"C00945998","FREEDOM, RESPONSIBILITY, INTEGRITY, ECONOMIC STRENGTH & SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00945998","","","","",""
"C00714501","LEADERS IN LIFE ACTING COOPERATIVELY (LILAC) PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00714501","","77372.44","31-MAR-26","156166.7","218300"
"C00897553","MAINTAINING INTEGRITY IN OUR NATION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00897553","MIN, DAVE","50507.27","31-MAR-26","36397.7","86905"
"C00664318","DEMOCRACY SUMMER LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00664318","RASKIN, JAMIE","75094.75","31-MAR-26","412566.9","364725.3"
"C00896688","JOBS OPPORTUNITY NOW POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00896688","HUSTED, JON","481377.14","31-MAR-26","646520.4","1127897.5"
"C00932434","NATIONAL REPUBLICAN MAJORITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00932434","MORRIS, NATE","28838","31-MAR-26","0","28838"
"C00945022","DEFENDERS OF FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00945022","NEHLS, TREVER","0","31-MAR-26","0","0"
"C00944942","KEEPING AMERICA INVESTING AND LEADING ECONOMIC EXPANSION-KAILEE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944942","BULLER, KAILEE","10000","31-MAR-26","0","10000"
"C00944884","TOP SHOT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944884","MIGUEZ, BLAKE","0","31-MAR-26","0","0"
"C00937466","KEEP FLORIDA WINNING","http://docquery.fec.gov/cgi-bin/fecimg/?C00937466","","0","31-MAR-26","0","0"
"C00944546","LADY WASHINGTON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944546","MCKINNEY, AMANDA","5000","31-MAR-26","0","5000"
"C00937417","LAST ONE OUT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00937417","","283.88","31-MAR-26","0","283.9"
"C00914028","NORTH CAROLINA FIRST","http://docquery.fec.gov/cgi-bin/fecimg/?C00914028","","21785.29","31-MAR-26","852053.1","873838.4"
"C00875781","RIGHT WISCONSIN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00875781","","15723.15","31-MAR-26","37016.5","47500"
"C00944330","IOWA FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944330","MITCHELL, JOE","0","31-MAR-26","0","0"
"C00944231","OREGONIANS FOR BARBARA KAHL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00944231","KAHL, BARBARA J","","","",""
"C00787879","CARRY ON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00787879","CAREY, MIKE","33869.91","31-MAR-26","241027","195511.6"
"C00832576","PATRIOT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00832576","RYAN, PATRICK","5786","31-MAR-26","265784.3","260054.4"
"C00755728","PROVEN CONSERVATIVES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00755728","","118340.71","31-MAR-26","33639.6","42500"
"C00894147","PROVEN CONSERVATIVES PAC - FEDERAL","http://docquery.fec.gov/cgi-bin/fecimg/?C00894147","","22781.16","31-MAR-26","24.3","22805.5"
"C00461723","SAVE AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00461723","","0","31-MAR-26","0","0"
"C00656637","SAVE AMERICA PAC II","http://docquery.fec.gov/cgi-bin/fecimg/?C00656637","","0","31-MAR-26","0","0"
"C00944017","ALSOPAC STATE & LOCAL","http://docquery.fec.gov/cgi-bin/fecimg/?C00944017","","0","31-MAR-26","0","0"
"C00943951","PERSIST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00943951","STRATTON, JULIANA","0","31-MAR-26","0","0"
"C00878439","GLASS CITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00878439","MERRIN, DEREK","2971.54","31-MAR-26","7446.5","9971.5"
